Region,Soil_Type,Crop,Rainfall_mm,Temperature_C,Fertilizer_kg,Yield_per_hectare
Maharashtra,Clay,Rice,622.4,22.2,65.4,4.18
Punjab,Sandy,Rice,412.7,12.3,84.9,2.73
Punjab,Sandy,Cotton,488.2,24.7,171.4,1.03
Punjab,Sandy,Cotton,536.1,13.9,193.6,1.38
Telangana,Loamy,Rice,779.5,27.5,89.7,3.68
Telangana,Sandy,Maize,1086.6,28.1,132.8,3.95
Andhra Pradesh,Sandy,Wheat,1052.3,23.7,84.2,2.34
Telangana,Clay,Rice,790.1,29.3,175.1,3.36
Maharashtra,Clay,Wheat,850.9,30.9,60.7,3.46
Punjab,Clay,Cotton,551.8,34.7,146.0,2.1
Andhra Pradesh,Clay,Wheat,1110.9,35.1,110.2,2.8
Punjab,Clay,Wheat,558.3,32.9,118.8,2.89
Maharashtra,Sandy,Cotton,873.5,26.9,137.5,1.5
Punjab,Sandy,Cotton,436.4,11.2,66.4,1.64
Telangana,Sandy,Maize,792.4,31.5,120.2,2.99
Telangana,Sandy,Rice,940.9,30.6,90.0,2.93
Punjab,Loamy,Rice,463.3,10.1,158.3,4.6
Telangana,Sandy,Cotton,1035.3,26.8,145.8,1.8
Andhra Pradesh,Loamy,Cotton,969.7,34.7,129.6,2.17
Telangana,Loamy,Wheat,655.9,27.8,197.8,4.29
Andhra Pradesh,Clay,Cotton,1139.0,37.2,62.8,2.21
Andhra Pradesh,Sandy,Rice,764.2,30.1,132.5,2.43
Andhra Pradesh,Clay,Maize,1056.5,29.0,150.8,4.26
Andhra Pradesh,Clay,Maize,812.3,28.1,138.2,3.97
Telangana,Clay,Cotton,953.9,22.9,60.1,1.7
Andhra Pradesh,Clay,Wheat,839.2,30.3,130.9,3.57
Punjab,Clay,Maize,723.0,14.8,64.5,4.24
Punjab,Loamy,Maize,745.5,11.4,148.0,5.4
Maharashtra,Loamy,Rice,900.3,21.7,78.7,4.45
Andhra Pradesh,Loamy,Cotton,839.3,26.7,188.5,2.57
Telangana,Clay,Rice,1084.5,36.8,177.3,3.45
Andhra Pradesh,Loamy,Maize,1132.3,36.5,74.7,4.22
Punjab,Loamy,Maize,514.1,27.4,159.6,5.6
Andhra Pradesh,Clay,Maize,848.4,37.5,136.9,4.45
Telangana,Clay,Wheat,892.1,30.0,177.9,2.85
Telangana,Clay,Rice,897.5,32.8,85.3,3.33
Telangana,Sandy,Cotton,909.7,28.7,137.6,1.68
